,學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,日間/進修,學制班別,當學年度總量內核定新生招生名額(A),當學年度新生保留入學資格人數(B),當學年度總量內新生招生核定名額之實際註冊人數(C),當學年度各學系境外(新生)學生實際註冊人數 (E),當學年度新生註冊率(%)D=〔(C+E)/(A-B+E)〕＊100％,當學年度系所招生特色說明,當學年度招生特色說明資訊網
10,106,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊系,日間,二年制大學(二技),23,0,23,...,100.0,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定  。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/bin/home.php
11,106,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊系,進修,學士班(含四技),47,2,44,...,97.78,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定   。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/bin/home.php
12,106,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊系,進修,二年制大學(二技),36,0,36,...,100.0,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定  。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/bin/home.php
13,106,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊系會計財稅碩士班,日間,碩士班,8,0,8,...,100.0,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定   。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/bin/home.php
14,106,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊科,日間,五專,50,0,46,...,92.0,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定  。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/bin/home.php
15,106,公立,技專校院,51,國立臺北商業大學,4121013,財務金融系,日間,學士班(含四技),24,0,24,...,100.0,整體而言，本系重點發展著重：   (一)課程設計兼重理論與實務，強化金融專業核心領域的課程設計。   (二)結合資訊科技，充分利用金融實驗室，透過模擬及分析各項金融工具，培育具實務操作經驗之金融商品操作人才。   (三)拓展與業者簽訂建教合作計畫，更積極延攬合作機構之專業經理人較受本系開設的實務課程，期理論與實務並重。   (四)強調專業證照之必要性，鼓勵學子取得金融專業證照。   (五)本系循序漸進提供完整之金融技職教育學程，學生在學期間即能獲得充分之學習，演練成為優異之金融人員。,http://fin.ntub.edu.tw/bin/home.php
16,106,公立,技專校院,51,國立臺北商業大學,4121013,財務金融系,日間,二年制大學(二技),25,0,25,...,100.0,整體而言，本系重點發展著重：  (一)課程設計兼重理論與實務，強化金融專業核心領域的課程設計。  (二)結合資訊科技，充分利用金融實驗室，透過模擬及分析各項金融工具，培育具實務操作經驗之金融商品操作人才。  (三)拓展與業者簽訂建教合作計畫，更積極延攬合作機構之專業經理人較受本系開設的實務課程，期理論與實務並重。  (四)強調專業證照之必要性，鼓勵學子取得金融專業證照。  (五)本系循序漸進提供完整之金融技職教育學程，學生在學期間即能獲得充分之學習，演練成為優異之金融人員。,http://fin.ntub.edu.tw/bin/home.php
17,106,公立,技專校院,51,國立臺北商業大學,4121013,財務金融系,進修,學士班(含四技),32,0,29,...,90.63,整體而言，本系重點發展著重：  (一)課程設計兼重理論與實務，強化金融專業核心領域的課程設計。  (二)結合資訊科技，充分利用金融實驗室，透過模擬及分析各項金融工具，培育具實務操作經驗之金融商品操作人才。  (三)拓展與業者簽訂建教合作計畫，更積極延攬合作機構之專業經理人較受本系開設的實務課程，期理論與實務並重。  (四)強調專業證照之必要性，鼓勵學子取得金融專業證照。  (五)本系循序漸進提供完整之金融技職教育學程，學生在學期間即能獲得充分之學習，演練成為優異之金融人員。,http://fin.ntub.edu.tw/bin/home.php
18,106,公立,技專校院,51,國立臺北商業大學,4121013,財務金融系,進修,二年制大學(二技),31,0,31,...,100.0,整體而言，本系重點發展著重：  (一)課程設計兼重理論與實務，強化金融專業核心領域的課程設計。  (二)結合資訊科技，充分利用金融實驗室，透過模擬及分析各項金融工具，培育具實務操作經驗之金融商品操作人才。  (三)拓展與業者簽訂建教合作計畫，更積極延攬合作機構之專業經理人較受本系開設的實務課程，期理論與實務並重。  (四)強調專業證照之必要性，鼓勵學子取得金融專業證照。  (五)本系循序漸進提供完整之金融技職教育學程，學生在學期間即能獲得充分之學習，演練成為優異之金融人員。,http://fin.ntub.edu.tw/bin/home.php
19,106,公立,技專校院,51,國立臺北商業大學,4121013,財務金融系碩士班,日間,碩士班,14,1,13,...,100.0,整體而言，本系重點發展著重：  (一)課程設計兼重理論與實務，強化金融專業核心領域的課程設計。  (二)結合資訊科技，充分利用金融實驗室，透過模擬及分析各項金融工具，培育具實務操作經驗之金融商品操作人才。  (三)拓展與業者簽訂建教合作計畫，更積極延攬合作機構之專業經理人較受本系開設的實務課程，期理論與實務並重。  (四)強調專業證照之必要性，鼓勵學子取得金融專業證照。  (五)本系循序漸進提供完整之金融技職教育學程，學生在學期間即能獲得充分之學習，演練成為優異之金融人員。,http://fin.ntub.edu.tw/bin/home.php
20,106,公立,技專校院,51,國立臺北商業大學,4121013,財務金融科,日間,五專,50,0,47,...,94.0,整體而言，本系重點發展著重：  (一)課程設計兼重理論與實務，強化金融專業核心領域的課程設計。  (二)結合資訊科技，充分利用金融實驗室，透過模擬及分析各項金融工具，培育具實務操作經驗之金融商品操作人才。  (三)拓展與業者簽訂建教合作計畫，更積極延攬合作機構之專業經理人較受本系開設的實務課程，期理論與實務並重。  (四)強調專業證照之必要性，鼓勵學子取得金融專業證照。  (五)本系循序漸進提供完整之金融技職教育學程，學生在學期間即能獲得充分之學習，演練成為優異之金融人員。,http://fin.ntub.edu.tw/bin/home.php
21,106,公立,技專校院,51,國立臺北商業大學,4122014,財政稅務系,日間,學士班(含四技),49,0,49,...,100.0,財政稅務系之教育目的，除教導學生有關財政、稅法、會計等基本知識與專門技能外，亦注重社團活動，強化道德修養，倡導運動競賽等身心陶冶、及培養專業精神，建立熱忱服務信念為指導原則，以達成五育並重的教育宗旨。期使本系學生畢業後，皆能成為優秀有用之財稅人才，以從事政府稅務工作為職志，報效國家社會，發揮教育功能。  以下為教育目標：  1.增進學生通過國家考試之應考能力。  2.提升學生取得財稅專業證照之能力。  3.加強學生對兩岸租稅制度之認知與專業訓練。  4.厚植學生法律素養及依法行政之職業道德與倫理。  5.使學生熟稔稅務法規及租稅規劃之理論與實務操作能力。  6.使學生熟稔稅務會計及審計查核之理論與實務操作能力。  7.使學生熟稔財務管理與財政稅務之理論與實務操作能力。  8.使學生具備宏觀國際視野與實踐社會關懷的能力。,http://fintax.ntub.edu.tw/bin/home.php
22,106,公立,技專校院,51,國立臺北商業大學,4122014,財政稅務系,日間,二年制大學(二技),25,0,25,...,100.0,財政稅務系之教育目的，除教導學生有關財政、稅法、會計等基本知識與專門技能外，亦注重社團活動，強化道德修養，倡導運動競賽等身心陶冶、及培養專業精神，建立熱忱服務信念為指導原則，以達成五育並重的教育宗旨。期使本系學生畢業後，皆能成為優秀有用之財稅人才，以從事政府稅務工作為職志，報效國家社會，發揮教育功能。  以下為教育目標：  1.增進學生通過國家考試之應考能力。  2.提升學生取得財稅專業證照之能力。  3.加強學生對兩岸租稅制度之認知與專業訓練。  4.厚植學生法律素養及依法行政之職業道德與倫理。  5.使學生熟稔稅務法規及租稅規劃之理論與實務操作能力。  6.使學生熟稔稅務會計及審計查核之理論與實務操作能力。  7.使學生熟稔財務管理與財政稅務之理論與實務操作能力。  8.使學生具備宏觀國際視野與實踐社會關懷的能力。,http://fintax.ntub.edu.tw/bin/home.php
23,106,公立,技專校院,51,國立臺北商業大學,4122014,財政稅務系,進修,二年制大學(二技),40,0,38,...,95.0,財政稅務系之教育目的，除教導學生有關財政、稅法、會計等基本知識與專門技能外，亦注重社團活動，強化道德修養，倡導運動競賽等身心陶冶、及培養專業精神，建立熱忱服務信念為指導原則，以達成五育並重的教育宗旨。期使本系學生畢業後，皆能成為優秀有用之財稅人才，以從事政府稅務工作為職志，報效國家社會，發揮教育功能。  以下為教育目標：  1.增進學生通過國家考試之應考能力。  2.提升學生取得財稅專業證照之能力。  3.加強學生對兩岸租稅制度之認知與專業訓練。  4.厚植學生法律素養及依法行政之職業道德與倫理。  5.使學生熟稔稅務法規及租稅規劃之理論與實務操作能力。  6.使學生熟稔稅務會計及審計查核之理論與實務操作能力。  7.使學生熟稔財務管理與財政稅務之理論與實務操作能力。  8.使學生具備宏觀國際視野與實踐社會關懷的能力。,http://fintax.ntub.edu.tw/bin/home.php
24,106,公立,技專校院,51,國立臺北商業大學,4122014,財政稅務系碩士班,日間,碩士班,7,0,6,...,85.71,105學年度招生的財政稅務碩士班，特別重視財政、經濟理論與財稅實務運作的結合，尤其針對新興的國際租稅領域課題，例如BEPS、CFC與國際反避稅等課題，與安侯、勤業與資誠等大型會計師事務所的國際租稅部門共同進行實例的課程研習與系列研討會，本系也會固定舉辦國際租稅座談會，實際參加稅改議題，提高話語權。並曾於103、104年度分別邀請德國聯邦財稅法院Mellinghoff院長及德國國際稅務司Kreienbaum司長等重量級國際學者，與我國司法院、財政部研討重要財稅議題。,http://fintax.ntub.edu.tw/bin/home.php
25,106,公立,技專校院,51,國立臺北商業大學,4122014,財政稅務科,日間,五專,50,0,46,...,92.0,財政稅務系之教育目的，除教導學生有關財政、稅法、會計等基本知識與專門技能外，亦注重社團活動，強化道德修養，倡導運動競賽等身心陶冶、及培養專業精神，建立熱忱服務信念為指導原則，以達成五育並重的教育宗旨。期使本系學生畢業後，皆能成為優秀有用之財稅人才，以從事政府稅務工作為職志，報效國家社會，發揮教育功能。  以下為教育目標：  1.增進學生通過國家考試之應考能力。  2.提升學生取得財稅專業證照之能力。  3.加強學生對兩岸租稅制度之認知與專業訓練。  4.厚植學生法律素養及依法行政之職業道德與倫理。  5.使學生熟稔稅務法規及租稅規劃之理論與實務操作能力。  6.使學生熟稔稅務會計及審計查核之理論與實務操作能力。  7.使學生熟稔財務管理與財政稅務之理論與實務操作能力。  8.使學生具備宏觀國際視野與實踐社會關懷的能力。,http://fintax.ntub.edu.tw/bin/home.php
26,106,公立,技專校院,51,國立臺北商業大學,4131010,企業管理系,日間,學士班(含四技),38,0,38,...,100.0,一、教育目標：(一)培養術德兼備，理論與實務兼具之管理人才。(二)培養學術研究之創新、優質之教學環境、使學生具備分析、獨立思考、專業、負責與解決問題之能力，以及前瞻性、國際化視野及管理能力。 二、發展特色: (一)本系將『行銷與流通管理』訂為系科發展特色。 (二) 成立『流通管理中心』。 (三) 成立跨系科之行銷流通學程。 (四) 99學年度增設五專菁英班。 (五) 辦理學士後第二專長學士學位學程。 (六) 結合系友會的資源，強化畢業系友支援母系的發展運作。 (七) 配合學校中長程計畫改制商業大學，本系亦計畫成立企業管理研究所。 (八) 於平鎮校區推動全球運籌管理學程，並將實施全英語教學環境。,http://ba.ntub.edu.tw/bin/home.php
27,106,公立,技專校院,51,國立臺北商業大學,4131010,企業管理系,日間,二年制大學(二技),25,0,23,...,92.0,一、教育目標：(一)培養術德兼備，理論與實務兼具之管理人才。(二)培養學術研究之創新、優質之教學環境、使學生具備分析、獨立思考、專業、負責與解決問題之能力，以及前瞻性、國際化視野及管理能力。 二、發展特色: (一)本系將『行銷與流通管理』訂為系科發展特色。 (二) 成立『流通管理中心』。 (三) 成立跨系科之行銷流通學程。 (四) 99學年度增設五專菁英班。 (五) 辦理學士後第二專長學士學位學程。 (六) 結合系友會的資源，強化畢業系友支援母系的發展運作。 (七) 配合學校中長程計畫改制商業大學，本系亦計畫成立企業管理研究所。 (八) 於平鎮校區推動全球運籌管理學程，並將實施全英語教學環境。,http://ba.ntub.edu.tw/bin/home.php
28,106,公立,技專校院,51,國立臺北商業大學,4131010,企業管理系,進修,學士班(含四技),40,2,38,...,100.0,一、教育目標：(一)培養術德兼備，理論與實務兼具之管理人才。(二)培養學術研究之創新、優質之教學環境、使學生具備分析、獨立思考、專業、負責與解決問題之能力，以及前瞻性、國際化視野及管理能力。 二、發展特色: (一)本系將『行銷與流通管理』訂為系科發展特色。 (二) 成立『流通管理中心』。 (三) 成立跨系科之行銷流通學程。 (四) 99學年度增設五專菁英班。 (五) 辦理學士後第二專長學士學位學程。 (六) 結合系友會的資源，強化畢業系友支援母系的發展運作。 (七) 配合學校中長程計畫改制商業大學，本系亦計畫成立企業管理研究所。 (八) 於平鎮校區推動全球運籌管理學程，並將實施全英語教學環境。,http://ba.ntub.edu.tw/bin/home.php
29,106,公立,技專校院,51,國立臺北商業大學,4131010,企業管理系,進修,二年制大學(二技),90,0,90,...,100.0,一、教育目標：(一)培養術德兼備，理論與實務兼具之管理人才。(二)培養學術研究之創新、優質之教學環境、使學生具備分析、獨立思考、專業、負責與解決問題之能力，以及前瞻性、國際化視野及管理能力。 二、發展特色: (一)本系將『行銷與流通管理』訂為系科發展特色。 (二) 成立『流通管理中心』。 (三) 成立跨系科之行銷流通學程。 (四) 99學年度增設五專菁英班。 (五) 辦理學士後第二專長學士學位學程。 (六) 結合系友會的資源，強化畢業系友支援母系的發展運作。 (七) 配合學校中長程計畫改制商業大學，本系亦計畫成立企業管理研究所。 (八) 於平鎮校區推動全球運籌管理學程，並將實施全英語教學環境。,http://ba.ntub.edu.tw/bin/home.php
30,106,公立,技專校院,51,國立臺北商業大學,4131010,企業管理系碩士班,日間,碩士班,15,1,14,...,100.0,本系所課程規劃兼顧縱向與橫向連繫，縱向連繫「經營策略與創新管理模組」與「行銷與流通模組」二個專業課程模組，橫向連繫強調跨模組課程整合，設立「RFID物流與供應鏈應用學程」，培育學生具備數位應用之基礎與專業知識的中高階管理人才，以強化畢業學生之就業競爭力。    本系所每年舉辦實務性的企業專家座談，利用邀請實務經驗豐富之企業經理人至本所進行專題講座，協助學生能精準掌握實務經營與管理新知等課題，並提昇學生本職學能及就業力。並且定期安排碩士班學生至校外企業參訪(如：中國砂輪、台新銀行、黑松等)；碩士在職專班學生則是到海外企業參訪(如：泰國南僑工廠、上海中隆紙業、蘇州寶富輕工、蘇州飛宏電子、日本石屋製菓等) 或拜訪國外學校（蘇州大學、澳門科技大學等）以開拓學生的視野。    本系所教師執行的研究計畫含括科技部專題研究計畫、產學合作、校內研究計畫等，均帶領研究生共同參與完成，以增進學生實務經驗。,http://ba.ntub.edu.tw/bin/home.php
