,區域別,國家,姊妹校,校名(英文)
35,歐洲 Europe,俄羅斯 Russia,莫斯科城市大學薩馬拉分校,Moscow City Teacher Training University (Samara Branch)
36,歐洲 Europe,土耳其 Turkey,卡地爾哈斯大學,Kadir Has University
37,歐洲 Europe,西班牙 Spain,瓦倫西亞天主教大學,Universidad Católica de Valencia
38,歐洲 Europe,西班牙 Spain,馬德里自治大學,Universidad Autónoma de Madrid
39,亞洲 Asia,日本 Japan,千葉商科大學,Chiba University of Commerce
40,亞洲 Asia,日本 Japan,近畿大學,Kindai University
41,亞洲 Asia,日本 Japan,新潟大學,Niigata University
42,亞洲 Asia,日本 Japan,小樽商科大學,Otaru University of Commerce
43,亞洲 Asia,日本 Japan,久留米大學,Kurume University
44,亞洲 Asia,日本 Japan,十文字學園女子大學,Jumonji University
45,亞洲 Asia,南韓 South Korea,慶北大學,Kyungpook National University
46,亞洲 Asia,南韓 South Korea,光雲大學,KwangWoon University
47,亞洲 Asia,南韓 South Korea,國立全北大學,Jeonbuk National University
48,亞洲 Asia,南韓 South Korea,天主教大學,Catholic University of Korea (CUK)
49,亞洲 Asia,南韓 South Korea,韓國漢陽大學,Hanyang University
50,亞洲 Asia,南韓 South Korea,蔚山大學,University of Ulsan (UOU)
51,亞洲 Asia,南韓 South Korea,東亞大學,Dong-A University
52,亞洲 Asia,南韓 South Korea,又鬆大學,Woosong University
53,亞洲 Asia,南韓 South Korea,中央大學,Chung-Ang University
54,亞洲 Asia,越南 Vietnam,河內大學,Hanoi University
55,亞洲 Asia,越南 Vietnam,胡志明市銀行大學,Banking University of Ho Chi Minh City
56,亞洲 Asia,越南 Vietnam,河內外貿大學,Foreign Trade University
57,亞洲 Asia,越南 Vietnam,西貢大學,Saigon University
58,亞洲 Asia,越南 Vietnam,孫德勝大學,Ton Duc Thang University
59,亞洲 Asia,印尼 Indonesia,印尼大學,Universitas Indonesia
60,亞洲 Asia,印尼 Indonesia,特利剎蒂大學,Universitas Trisakti
61,亞洲 Asia,新加坡 Singapore,新躍社科大學,Singapore University of Social Science
62,亞洲 Asia,泰國 Thailand,泰國國立法政大學,Thammasat University
63,亞洲 Asia,泰國 Thailand,泰國農業大學,Kasetsart University
64,亞洲 Asia,泰國 Thailand,曼谷皇家理工大學工商管理學院,Rajamangala University of Technology Krungthep Rajamangala Krungthep Business School
65,亞洲 Asia,馬來西亞 Malaysia,新紀元學院,New Era CollegeNew Era College
66,亞洲 Asia,馬來西亞 Malaysia,拉曼大學,Tunku Abdul Rahman University College
67,亞洲 Asia,馬來西亞 Malaysia,吉隆坡大學,University of Kuala Lumpur
68,亞洲 Asia,蒙古 Mongolia,全球領袖大學,Global Leadership University
69,亞洲 Asia,中國 China,西南大學,Southwest University
70,亞洲 Asia,中國 China,暨南大學,Jinan University
71,亞洲 Asia,中國 China,重慶大學,Chongqing University
72,亞洲 Asia,中國 China,中央財經大學,Central University of Finance and Economics
73,亞洲 Asia,中國 China,上海大學,ShangHai University
74,亞洲 Asia,中國 China,蘇州大學,Soochow University
75,亞洲 Asia,中國 China,北京外國語大學,Beijing Foreign Studies University
76,亞洲 Asia,中國 China,吉林師範大學,Jilin Normal University
77,亞洲 Asia,中國 China,北京工業大學耿丹學院,Gengdan Institute of Beijing University of Technology
78,亞洲 Asia,中國 China,石家莊信息工程職業學院,Shijiazhuang Information Engineering Vocational College
79,亞洲 Asia,中國 China,武漢商學院,WuHan Business University
